交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
203,空头进场,2023-04-14 11:02,①挂空,2033.64,1,2033.64,-1.41,-0.07,1.81,0.09,-1.43,-0.07,187.52,1.88
204,空头出场,2023-04-17 17:02,✅移动止盈,1996.16,1,1992.43,-3.73,-0.19,0.25,0.01,-3.73,-0.19,183.79,1.84
204,空头进场,2023-04-17 16:02,①挂空,1992.43,1,1992.43,-3.73,-0.19,0.25,0.01,-3.73,-0.19,183.79,1.84
205,多头出场,2023-04-19 12:02,❌止损,1973.35,1,2010.63,-37.28,-1.85,1.22,0.06,-37.28,-1.85,146.51,1.47
205,多头进场,2023-04-18 17:02,①挂多,2010.63,1,2010.63,-37.28,-1.85,1.22,0.06,-37.28,-1.85,146.51,1.47
206,多头出场,2023-05-03 22:02,✅移动止盈,2022.96,1,1996.85,26.11,1.31,39.19,1.96,-25.21,-1.26,172.62,1.73
206,多头进场,2023-04-20 05:02,①挂多,1996.85,1,1996.85,26.11,1.31,39.19,1.96,-25.21,-1.26,172.62,1.73
207,空头出场,2023-05-05 16:02,✅移动止盈,2012.54,1,2017.12,4.58,0.23,9.34,0.46,0,0.00,177.2,1.77
207,空头进场,2023-05-05 15:02,①挂空,2017.12,1,2017.12,4.58,0.23,9.34,0.46,0,0.00,177.2,1.77
208,多头出场,2023-05-10 16:02,✅移动止盈,2037.15,1,2018.72,18.43,0.91,29.46,1.46,-0.84,-0.04,195.63,1.96
208,多头进场,2023-05-08 05:02,①挂多,2018.72,1,2018.72,18.43,0.91,29.46,1.46,-0.84,-0.04,195.63,1.96
209,空头出场,2023-05-10 19:02,✅移动止盈,2025.46,1,2025.08,-0.38,-0.02,3.54,0.17,-0.38,-0.02,195.25,1.95
209,空头进场,2023-05-10 18:02,①挂空,2025.08,1,2025.08,-0.38,-0.02,3.54,0.17,-0.38,-0.02,195.25,1.95
210,空头出场,2023-05-11 11:02,✅移动止盈,2024.32,1,2025.08,0.76,0.04,3.24,0.16,0,0.00,196.01,1.96
