交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
60,多头进场,2025-08-13 10:02,①挂多,3358.11,1,3358.11,-36.79,-1.10,16.6,0.49,-36.79,-1.10,184.99,0.02
61,空头出场,2025-08-19 19:02,✅移动止盈,3322.97,1.4,4652.48,0.32,0.01,2.25,0.05,-5.01,-0.11,185.32,0.02
61,空头进场,2025-08-19 18:02,②⚡追空,3323.2,1.4,4652.48,0.32,0.01,2.25,0.05,-5.01,-0.11,185.32,0.02
62,多头出场,2025-08-21 09:02,❌止损,3334.56,1,3350.52,-15.96,-0.48,1.76,0.05,-15.96,-0.48,169.36,0.02
62,多头进场,2025-08-21 01:02,①挂多,3350.52,1,3350.52,-15.96,-0.48,1.76,0.05,-15.96,-0.48,169.36,0.02
63,空头出场,2025-08-21 11:02,✅移动止盈,3340.06,1.4,4670.162,-5.92,-0.13,0.53,0.01,-8.09,-0.17,163.43,0.02
63,空头进场,2025-08-21 10:02,②⚡追空,3335.83,1.4,4670.162,-5.92,-0.13,0.53,0.01,-8.09,-0.17,163.43,0.02
64,空头出场,2025-08-22 16:02,✅移动止盈,3325.04,1,3325.4,0.36,0.01,3.94,0.12,0,0.00,163.79,0.02
64,空头进场,2025-08-22 15:02,①挂空,3325.4,1,3325.4,0.36,0.01,3.94,0.12,0,0.00,163.79,0.02
65,多头出场,2025-08-27 21:02,✅移动止盈,3392.86,1,3385.47,7.39,0.22,13.34,0.39,-0.26,-0.01,171.18,0.02
65,多头进场,2025-08-27 17:02,①挂多,3385.47,1,3385.47,7.39,0.22,13.34,0.39,-0.26,-0.01,171.18,0.02
66,多头出场,2025-09-09 17:02,✅移动止盈,3664.62,1,3659.32,5.3,0.14,15.52,0.42,0,0.00,176.48,0.02
66,多头进场,2025-09-09 16:02,①挂多,3659.32,1,3659.32,5.3,0.14,15.52,0.42,0,0.00,176.48,0.02
67,空头出场,2025-09-09 21:02,✅移动止盈,3642.32,1,3642.75,0.43,0.01,1.42,0.04,0,0.00,176.91,0.02
67,空头进场,2025-09-09 20:02,①挂空,3642.75,1,3642.75,0.43,0.01,1.42,0.04,0,0.00,176.91,0.02
68,空头出场,2025-09-10 19:02,✅移动止盈,3646.26,1,3641.96,-4.3,-0.12,3.29,0.09,-4.38,-0.12,172.61,0.02
68,空头进场,2025-09-10 18:02,①挂空,3641.96,1,3641.96,-4.3,-0.12,3.29,0.09,-4.38,-0.12,172.61,0.02
69,空头出场,2025-09-10 21:02,✅移动止盈,3646.92,1,3641.96,-4.96,-0.14,0.22,0.01,-5.68,-0.16,167.65,0.02
69,空头进场,2025-09-10 20:02,①挂空,3641.96,1,3641.96,-4.96,-0.14,0.22,0.01,-5.68,-0.16,167.65,0.02
70,空头出场,2025-09-11 15:02,①挂多,3631.91,1,3614.21,-17.7,-0.49,1.08,0.03,-17.7,-0.49,149.95,0.01
70,空头进场,2025-09-11 15:02,①挂空,3614.21,1,3614.21,-17.7,-0.49,1.08,0.03,-17.7,-0.49,149.95,0.01
71,多头出场,2025-09-12 09:02,✅移动止盈,3648.9,1,3631.91,16.99,0.47,24.78,0.68,-1.57,-0.04,166.94,0.02
71,多头进场,2025-09-11 17:02,①挂多,3631.91,1,3631.91,16.99,0.47,24.78,0.68,-1.57,-0.04,166.94,0.02
72,空头出场,2025-09-15 03:02,✅移动止盈,3638.26,1,3637.67,-0.59,-0.02,0.79,0.02,-0.59,-0.02,166.35,0.02
72,空头进场,2025-09-15 02:02,①挂空,3637.67,1,3637.67,-0.59,-0.02,0.79,0.02,-0.59,-0.02,166.35,0.02
73,空头出场,2025-09-17 05:02,✅移动止盈,3678.22,1,3678.9,0.68,0.02,2.82,0.08,0,0.00,167.03,0.02
73,空头进场,2025-09-17 04:02,①挂空,3678.9,1,3678.9,0.68,0.02,2.82,0.08,0,0.00,167.03,0.02
74,空头出场,2025-09-18 17:02,✅移动止盈,3645.57,1,3633.96,-11.61,-0.32,5.92,0.16,-11.61,-0.32,155.42,0.02
74,空头进场,2025-09-18 16:02,①挂空,3633.96,1,3633.96,-11.61,-0.32,5.92,0.16,-11.61,-0.32,155.42,0.02
75,多头出场,2025-09-23 17:02,✅移动止盈,3772.87,1,3672.98,99.89,2.72,118.16,3.22,-6.56,-0.18,255.31,0.03
75,多头进场,2025-09-19 18:02,①挂多,3672.98,1,3672.98,99.89,2.72,118.16,3.22,-6.56,-0.18,255.31,0.03
76,空头出场,2025-09-26 23:02,✅移动止盈,3767.44,1,3771.45,4.01,0.11,6.75,0.18,0,0.00,259.32,0.03
76,空头进场,2025-09-26 22:02,①挂空,3771.45,1,3771.45,4.01,0.11,6.75,0.18,0,0.00,259.32,0.03
77,多头出场,2025-09-30 09:02,✅移动止盈,3855.33,1,3831.41,23.92,0.62,40.37,1.05,-10.33,-0.27,283.24,0.03
77,多头进场,2025-09-29 18:02,①挂多,3831.41,1,3831.41,23.92,0.62,40.37,1.05,-10.33,-0.27,283.24,0.03
78,空头出场,2025-10-02 04:02,✅移动止盈,3854.78,1,3853.3,-1.48,-0.04,0.44,0.01,-1.48,-0.04,281.76,0.03
78,空头进场,2025-10-02 03:02,①挂空,3853.3,1,3853.3,-1.48,-0.04,0.44,0.01,-1.48,-0.04,281.76,0.03
79,多头出场,2025-10-29 00:02,✅移动止盈,3945.08,1,3930.91,14.17,0.36,39.46,1.00,0,0.00,295.93,0.03
79,多头进场,2025-10-28 15:02,①挂多,3930.91,1,3930.91,14.17,0.36,39.46,1.00,0,0.00,295.93,0.03
